iso3c,region_name,goal,future,pressures,resilience,score,status,trend,are_km2
SOM,Somalia,ICO,58.31,48.94,43.56,59.43,60.56,-0.03,128355
ERI,Eritrea,ICO,55.67,49.26,49.07,56.84,58,-0.06,78382
DJI,Djibouti,ICO,60.61,43.04,55.44,61.14,61.67,-0.03,7252
YEM,Yemen,ICO,50.31,48.92,45.41,51.63,52.94,-0.06,162280
SDN,Sudan,ICO,50.22,49.63,49.44,51.48,52.73,-0.07,63012
SAU,Saudi Arabia,ICO,53.87,37.63,68.43,54.43,55,-0.03,190642
ISR,Israel,ICO,56.58,32.5,68.95,57.29,58,-0.04,32
EGY,Egypt,ICO,55.63,41.29,61.03,56.43,57.22,-0.04,71940
JOR,Jordan,ICO,60.38,39.73,68.72,60.19,60,0.01,97
SOM,Somalia,Index,68.13,NA,NA,69.72,NA,NA,128355
ERI,Eritrea,Index,53.59,NA,NA,54.81,NA,NA,78382
DJI,Djibouti,Index,77.9,NA,NA,78.01,NA,NA,7252
YEM,Yemen,Index,66.32,NA,NA,67.99,NA,NA,162280
SDN,Sudan,Index,57.95,NA,NA,61.09,NA,NA,63012
SAU,Saudi Arabia,Index,73.21,NA,NA,73.67,NA,NA,190642
ISR,Israel,Index,71.74,NA,NA,70.5,NA,NA,32
EGY,Egypt,Index,70.88,NA,NA,70.85,NA,NA,71940
JOR,Jordan,Index,74.22,NA,NA,74.03,NA,NA,97
SOM,Somalia,LE,97.02,NA,NA,95.21,93.4,0.28,128355
ERI,Eritrea,LE,3.17,NA,NA,3.42,3.67,-0.54,78382
DJI,Djibouti,LE,99.95,NA,NA,96.67,93.4,0.28,7252
YEM,Yemen,LE,95.16,NA,NA,97.58,100,0.49,162280
SDN,Sudan,LE,64.3,NA,NA,73.09,81.88,-0.32,63012
SAU,Saudi Arabia,LE,100,NA,NA,100,100,0.53,190642
ISR,Israel,LE,100,NA,NA,100,100,0.52,32
EGY,Egypt,LE,100,NA,NA,97.83,95.66,0.35,71940
JOR,Jordan,LE,96.76,NA,NA,87.72,78.69,0.57,97
SOM,Somalia,LIV,100,51.32,33.6,93.4,86.79,0.57,128355
ERI,Eritrea,LIV,0.07,53.42,35.2,0.16,0.25,-1,78382
DJI,Djibouti,LIV,100,45.8,42.69,93.4,86.79,0.57,7252
YEM,Yemen,LIV,100,60.61,45.51,100,100,1,162280
