iso3c,region_name,goal,dimension,score
JOR,Jordan,TR,score,77.37
GLO,Global average,AO,score,85
GLO,Global average,BD,score,79
GLO,Global average,CP,score,74
GLO,Global average,CS,score,73
GLO,Global average,CW,score,55
GLO,Global average,ECO,score,88
GLO,Global average,FIS,score,43
GLO,Global average,FP,score,35
GLO,Global average,HAB,score,77
GLO,Global average,ICO,score,55
GLO,Global average,Index,score,68
GLO,Global average,LE,score,85
GLO,Global average,LIV,score,82
GLO,Global average,LSP,score,18
GLO,Global average,MAR,score,3
GLO,Global average,NP,score,88
GLO,Global average,SP,score,37
GLO,Global average,SPP,score,81
GLO,Global average,TR,score,77
